"Name","Disc. Date","mmax","Mmax","Host Name","z","Type","E(B-V)","X-ray"
"SNF20080717-000","2008/07/17","19.2","-17.948","","0.05985","Ia","0.0452",""
"SN2006io","2006/09/19","19.5","-19","A000654-0138","0.1,0.1","Ia","0.032",""
"SDSS-II SN 19099","2007/10/06","22.08","","","","Ia","0.0593",""
"SN2016ick","2016/11/13","17.47","-19.39","APMUKS(BJ) B000429.79-205831.7","0.0525,0.0525","Ia","0.0174",""
"SN2005ih","2005/10/20","21.32","-19.1","SDSS J00713.57+002056.7","0.26,0.26","Ia","0.0657",""
"SDSS-II SN 15535","2006/10/20","21.19","-18.6456","SDSS J00716.26-001813.4","0.200792","Ia","0.0315",""
"SDSS-II SN 9194","2005/10/21","21.8","-15.7984","SDSS J00730.58-004815.7","0.073431","Ib/c","0.0292",""
"SN2016gdm","2016/09/09","18.97","-18.6","","0.073,0.073","Ia","0.0387",""
"SDSS-II SN 4236","2005/09/24","21.3","-19.74","SDSS J00737.46-010106.8","0.3432","Ia","0.0274",""
"SDSS-II SN 13452","2006/09/15","20.13","-21.5461","SDSS J00740.97-002104.4","0.455383","Ia","0.0413",""
"SN2016glr","2016/09/21","19.62","-19.65","APMUKS(BJ) B000518.83-253151.4","0.156,0.156","Ia","0.0177",""
"SN2005fi","2005/09/11","20.88","-19.56","SDSS J00758.69+003816.7","0.263","Ia","0.0376",""
"ASASSN-15rq","2015/10/21","14.71","-20.5","GALEXASC J000802.78-363348.1","0.025","Ia","0.0114",""
"SDSS-II SN 18304","2007/09/22","21.28","-19.1257","SDSS J00834.07+004815.5","0.258847","Ia","0.0277",""
"SDSS-II SN 7851","2005/10/20","21.05","-21.1331","SDSS J00839.84+004200.2","0.571324","II","0.0294",""
"SN2018icl","2018/11/03","18.67","-19","","0.07,0.07","Ia","",""
"SDSS-II SN 1686","2005/09/03","21.12","-17.851","SDSS J00859.75-001239.2","0.1364,0.1364","Ia?","0.0526",""
"SN2002ir","2002/10/30","21.4","-19.2","A000859+0057","0.28,0.28","Ia","0.0229",""
"SN2017hdq","2017/09/22","19.99","-18","","0.088,0.088","Ia","0.0284",""
"SDSS-II SN 14327","2006/09/19","22.02","-19.4788","SDSS J00922.97-001124.5","0.420803","Ia","0.0494",""
"SDSS-II SN 7056","2005/10/21","22.15","-18.5445","SDSS J00923.05+000811.6","0.294304","Ia","0.0353",""
"SN2005hw","2005/10/11","20.4","-21.83","SDSS J00928.39+010916.0","0.584,0.606","Ia","0.0195",""
"SN1998dr","1998/08/28","18","","A000930-4850","","Ia","0.0089",""
"SDSS-II SN 7654","2005/09/14","21.67","-19.65","","0.388,0.406,0.348,0.606,0.631","Ia","0.0198",""
"SN1996ay","1996/10/08","23.9","-18.5","A000957+0053","0.62","Ia","0.0198",""
"SDSS-II SN 19582","2007/10/13","21.81","-19.34","","0.361,0.313","Ia","0.019",""
"SN2007hq","2007/09/01","19.7","-18","A001006-1616","0.09,0.09","Ia","0.024",""
"SDSS-II SN 18374","2007/09/15","21.25","-19.6317","SDSS J01015.69-001038.4","0.319838","Ia","0.0346",""
"SDSS-II SN 3565","2005/09/22","21.41","-19.2495","SDSS J01021.68+004235.9","0.289763","Ia","0.0213",""
"SDSS-II SN 14531","2006/09/27","21.61","-19.51","","0.356,0.413","Ia","0.0241",""
"SN1992au","1992/07/29","18.49","-18.72","A001040-4956","0.0617,0.0696,0.0733,0.0801","Ia","0.0145",""
"SN2006lj","2006/09/27","21.27","-18.9987","SDSS J01043.55+001206.6","0.243538","Ia","0.0282",""
"SDSS-II SN 13896","2006/09/19","21.09","-18.1996","SDSS J01051.11-000411.8","0.157317","Ia","0.0287",""
"SN2016flo","2016/08/27","18.44","-18.9","","0.065,0.065","Ia","0.0215",""
"SN2006jz","2006/10/11","20.59","-19.23","SDSS J01124.57+004207.2","0.1994","Ia","0.0234",""
"ASASSN-15sf","2015/10/30","15.44","-20","APMUKS(BJ) B000853.90-064231.3","0.027","Ia","0.0266",""
"SDSS-II SN 1765","2005/09/03","21.65","","SDSS J01127.92-002649.5","","Ia","0.0352",""
"SDSS-II SN 8555","2005/10/30","21.45","-18.351","SDSS J01139.74-002454.1","0.1977","Ia","0.0316",""
"SN2007ju","2007/09/14","18.02","-19.26","SDSS J01150.46-002021.6","0.0636","Ia","0.0269",""
"SN2007jq","2007/09/04","20.1","-19.17","SDSS J01158.43+005951.2","0.156","Ia","0.0224",""
"ASASSN-15ak","2015/01/09","14.8","-19.3238","UGC 110","0.015034","Ia Pec","0.037",""
"SDSS-II SN 20171","2007/10/15","20.71","-21.13","SDSS J01202.51+001301.2","0.489,0.501","Ia","0.0253",""
"SN2017gto","2017/09/14","19.13","-18.8","SDSS J001203.93+010619.0","0.086,0.086","Ia","0.0214",""
"ASASSN-15sx","2015/11/19","16.4","-19.5581","ESO 472-G18","0.034814","Ia","0.0179",""
"SDSS-II SN 20185","","20.69","-19.6807","SDSS J01215.68+011456.8","0.254845","Ia","0.021",""
"SN2007mu","2007/09/22","21.77","-19.63","SDSS J01218.66-000439.5","0.403,0.332","Ia","0.0256",""
"SNF20071003-001","2007/10/03","18.3","-18.554","","0.05236","Ia","0.0222",""
"SN2006nv","2006/10/28","20.69","-19.9389","SDSS J01229.89-005840.1","0.285857","Ia","0.0502",""
"SDSS-II SN 21388","2007/11/04","22.68","-19.4848","SDSS J01233.30+000305.5","0.56665","Ia","0.0252",""
"SDSS-II SN 14463","2006/09/27","20.72","-19.18","","0.207,0.143,0.133","Ia","0.0233",""
"SDSS-II SN 17433","2007/09/03","21.18","-19.4658","SDSS J01244.41-000203.2","0.288012","Ia","0.025",""
"SDSS-II SN 17219","2007/09/03","20.62","-19.1418","SDSS J01246.59-000611.1","0.194292","Ia","0.0254",""
