"Name","Disc. Date","mmax","Mmax","Host Name","z","Type","E(B-V)","X-ray"
"SNLS-05D1iz","2005/12/03","23.21","-19.9","","0.86,0.86","Ia","0.0224",""
"SNLS-06D1bo","2006/08/23","","","","0.62","Ia","0.0221",""
"SNLS-03D1co","2003/11/21","23.15","-19.42","[HSP2005] J022616.23-045605.76","0.679,0.679","Ia","0.0247",""
"SNLS-04D1dc","2004/08/10","20.65","-19.3","[NSB2006] J022618.47-041843.2","0.211,0.211","Ia","0.0221",""
"SNLS-03D1dj","2003/11/20","21.84","-19.5","","0.39","Ia","0.0239",""
"SN2006ub","2006/12/16","22.7","","A022621-0854","","Ia","0.0258",""
"SN2014du","2014/10/31","16.9","-18.9","UGC 1899","0.0324","Ia","0.0949",""
"SNLS-04D1pc","2004/11/13","23.29","-19.54","VVDS 020273370","0.767","Ia","0.023",""
"SDSS-II SN 8307","2005/10/23","20.7","-20.8789","SDSS J22625.21+004726.8","0.43608","Ia","0.0285",""
"SNLS-06D1ck","2006/08/31","","","","0.9","Ia","0.0229",""
"SNLS-03D1bk","2003/09/28","23.23","-19.87","VVDS 020209246","0.865,0.865","Ia","0.0237",""
"SNLS-05D1cc","2005/09/04","22.55","-19.6","","0.564,0.564","Ia","0.0241",""
"SNLS-03D1dt","2003/11/28","22.33","-20.01","[AGR2006] J022631.20-040308.5","0.612,0.612","Ia","0.0242",""
"SNLS-04D1qd","2004/11/17","23.08","-19.75","VVDS:[RBO2008] ir 00062666","0.767,0.767","Ia","0.0242",""
"SNLS-06D1ix","2006/12/18","","","","0.65","Ia","0.0243",""
"SDSS-II SN 18797","2007/10/03","22.01","-19.1708","SDSS J22633.95-003732.1","0.365307","Ia","0.0261",""
"SNLS-07D1cf","2007/09/20","","","","0.5","Ia","0.0241",""
"SNLS-04D1sc","2004/12/12","","","","0.59","Ia?","0.0242",""
"SN2007E","2007/01/10","16","-18.4","NGC 921","0.02261","Ia","0.0252",""
"SDSS-II SN 15071","","20.85","-21.2","SDSS J22634.76+002305.6","0.54","Ia","0.0283",""
"SNLS-04D1de","2004/08/17","22.97","-19.866","VVDS 020262777","0.7677","Ia","0.0238",""
"PSN J02263653+1208555","2012/08/27","16","-19.5","NGC 927","0.028","Ia","0.073",""
"SNLS-03D1bp","2003/09/26","21.91","-19.16","[AGR2006] J022637.71-045019.5","0.347,0.346,0.347","Ia","0.0211",""
"SN2001il","2001/11/21","20.4","-19.51","A022641-0057","0.208,0.21,0.208","Ia","0.0272",""
"SNLS-04D1ow","2004/11/12","23.23","-19.99","VVDS 020466469","0.915,0.915","Ia","0.0227",""
"SNLS-07D1ab","2007/01/23","","","","0.328","Ia","0.0243",""
"SNLS-05D1ke","2005/12/29","22.66","-19.9","","0.69,0.69","Ia","0.0209",""
"SN2018fty","2018/09/01","18.73","-18.207","","0.054386","Ia","0.0255",""
"SNLS-06D1kf","2006/12/24","","","","0.561","Ia","0.0241",""
"SNLS-07D1dv","2007","","","","0.887","Ia","0.0213",""
"SNLS-06D1gl","2006/11/18","","","","0.98","Ia","0.0216",""
"SN2006nb","2006/10/22","20.44","-19.21","SDSS J22653.37-001940.2","0.185,0.177,0.242","Ia","0.0273",""
"SNLS-03D1fq","2003/12/23","23.33","-20","[HSP2005] J022655.68-041808.10","0.8,0.8","Ia","0.0224",""
"SNLS-05D1cb","2005/09/10","22.68","-19.73","VVDS:[RBO2008] ir 00060734","0.632,0.632","Ia","0.0241",""
"SNLS-05D1ju","2005/12/26","23.3","-19.36","VVDS:[RBO2008] ir 00060050","0.707,0.707","Ia","0.0241",""
"SNLS-04D1fh","2004/08/18","","","","0.56","Ia?","0.024",""
"SNLS-07D1bu","2007/09/08","","","","0.626","Ia","0.0236",""
"SDSS-II SN 14342","","21","-20.5639","SDSS J22702.98-000728.1","0.433187","Ia","0.0258",""
"SNLS-04D1pg","2004/11/13","22.47","-19.48","[NSB2006] J022704.16-041031.3","0.515,0.515","Ia","0.0236",""
"SNLS-06D1jz","2006/12/23","","","","0.346","Ia","0.023",""
"SN2010gy","2010/08/06","18.276","-22.36","A022712-0432","0.2867,0.0696,0.0708,0.0722","Ia","0.0236",""
"SNLS-03D1fb","2003/12/18","25","-16.88","","0.498","Ia","0.0239",""
"SN2002gr","2002/10/10","21.8","-16.273","A022713+0053","0.09102,0.09","Ia","0.0258",""
"SDSS-II SN 14683","","21.14","-19.5388","SDSS J22713.41-000451.7","0.292264","Ia","0.0259",""
"SDSS-II SN 21023","2007/10/19","21.46","","","","Ia","0.0262",""
"SNLS-03D1ar","2003/09/26","22.9","-18.53","[NSB2006] J022714.68-041905.0","0.408,0.408","Ia","0.0217",""
"SN2006pt","2006/11/14","21.34","-19.3886","SDSS J22716.08-002335.6","0.298808","Ia","0.0253",""
"SN2016euj","2016/08/09","14.75","-19.6428","ESO 479- G 007","0.017008,0.017008","Ia","0.0166",""
"SN2017bem","2017/02/17","18.06","-19.2","","0.062,0.062","Ia","0.0883",""
"SNLS-04D1qn","2004/11/14","","","","0.52","Ia?","0.0217",""
"SNLS-04D1pu","2004/12/11","22.85","-19.58","VVDS:[RBO2008] ir 00034185","0.639,0.639","Ia","0.0242",""
"SNLS-07D1bl","2007/09/04","","","","0.636","Ia","0.0239",""
"SN2017gtl","2017/09/13","18.37","-17.7295","PGC 9342","0.037136","Ia","0.1292",""
"SNLS-07D1ah","2007/08/27","","","","0.342","Ia Pec","0.0235",""
"SNLS-04D1ak","2004/01/22","22.96","-19.04","[AGR2006] J022733.39-041938.7","0.526,0.526","Ia","0.0218",""
"SDSS-II SN 20278","2007/10/20","21.16","-19.76","","0.325","Ia","0.0242",""
"SN2000ee","2000/10/21","22.6","-19.1","A022734+0111","0.47,0.47,0.47","Ia","0.0251",""
"SNLS-08D1aa","2008/01/27","","","","0.54","Ia","0.0234",""
"SN2003gs","2003/07/29","13.32","-18.1","NGC 936","0.00477","Ia Pec","0.0301",""
"SNLS-06D1dl","2006/09/22","","","","0.514","Ia","0.0231",""
"SNLS-04D1pd","2004/11/11","23.55","-19.78","VVDS 020167448","0.965","Ia","0.0238",""
"SNLS-05D1iy","2005/11/29","21.23","-19.078","","0.2478,0.2478","Ia","0.0222",""
"SNLS-06D1fx","2006/11/14","","","","0.524","Ia","0.0248",""
"SN2005eu","2005/10/04","16.81","-19.1536","NSF J022743.32+281037.6","0.034901","Ia","0.1126",""
"SNLS-07D1ad","2007/01/24","","","","0.297","Ia","0.0251",""
"SNLS-05D1hm","2005/11/28","22.94","-19.3","","0.587,0.587","Ia","0.025",""
"SN1989S","1989/10/29","19","-17","IC 226","0.036","Ia","0.1131",""
"SN2008id","2008/11/03","20.8","-19.6","A022747-0434","0.26,0.26","Ia","0.0237",""
"SNLS-05D1dx","2005/11/11","22.36","-19.9","","0.58,0.58","Ia","0.0232",""
"SNLS-04D1rh","2004/12/13","21.78","-19.8","[NSB2006] J022747.16-041513.6","0.436,0.436","Ia","0.0219",""
"SN2003li","2003/12/13","22.45","-19.621","A022747-0733","0.5432,0.5403","Ia","0.0235",""
"SN2001hk","2001/11/12","19.5","-19.4","A022750+0036","0.13","Ia","0.026",""
"SNLS-04D1jd","2004/09/20","23.04","-19.82","VVDS:[RBO2008] ir 00023872","0.778,0.778","Ia","0.0259",""
"SN2001ga","2001/11/12","19.5","-19.4","A022751+0037","0.13","Ia","0.026",""
"SNLS-04D1kj","2004/10/09","22.44","-19.8","[NSB2006] J022752.66-041049.2","0.585,0.585","Ia","0.0218",""
"SDSS-II SN 17835","2007/09/12","22.4","-19.8448","SDSS J22753.23-003312.6","0.587383","Ia","0.0252",""
"SN2007us","2007/12/07","22.71","-19.655","A022754-0800","0.6201,0.6193,0.6201","Ia","0.0257",""
"SN1992bf","1992/10/02","17","-17","NGC 930","0.014","Ia Pec","0.119",""
"SNLS-04D1sa","2004/12/15","22.73","-19.51","[NSB2006] J022756.16-041034.3","0.585,0.585","Ia","0.0216",""
"SDSS-II SN 20336","2007/11/01","22.2","","","","Ia","0.0259",""
"SN1999fh","1999/11/03","22.4","-18.8","A022758+0039","0.369,0.36,0.36","Ia","0.0267",""
"SDSS-II SN 16433","2006/10/29","21.61","-19.791","SDSS J22759.00-011009.9","0.402876","Ia","0.03",""
"SN2004hm","2004/12/07","20.25","-19.229","A022803-0742","0.172,0.1712,0.172","Ia","0.026",""
"SN1999fi","1999/11/03","24.1","-18.8","A022811+0043","0.78,0.78","Ia","0.0266",""
"SN2018ihs","2018/11/09","18.21","-17.3","2MFGC 01926","0.029,0.029","Ia","",""
"ASASSN-15ar","2015/01/10","16.64","-18.905","CGCG 439-010","0.02882","Ia","0.0921",""
"SN1999fj","1999/11/03","23.5","-19.47","A022823+0039","0.815,0.81,0.81","Ia","0.0255",""
"SN2007ok","2007/10/17","20.1","-19.31","SDSS J22823.91+001109.6","0.166,0.174,0.175","Ia","0.0238",""
"SN2009kt","2009/09/15","21.5","-19","A022828-0404","0.27,0.33","Ia","0.0223",""
"SN2003jl","2003/10/22","21.75","-19.762","A022828-0808","0.424,0.4232,0.436","Ia","0.0256",""
"SN2006tr","2006/12/17","22.13","-20.084","A022829-0753","0.5792,0.5956","Ia?","0.023",""
"SN2007jt","2007/09/12","19.93","-19.175","SDSS J22832.76-010234.1","0.1448","Ia","0.0304",""
"SN2015ab","2015/07/10","14.7","-19.22","NGC 938","0.0137","Ia","0.0994",""
"SN2007tx","2007/11/05","22.5","-20.057","A022833-0835","0.6764","Ic","0.0261",""
"SN2009ho","2009/07/25","18.4","","UGC 1941","","Ia","0.048",""
"SN2007ty","2007/11/05","22.19","-19.913","A022834-0823","0.552,0.5512","Ia","0.0269",""
"SDSS-II SN 4714","2005/09/22","22.02","-19.55","SDSS J22836.63-001219.1","0.435","Ia","0.0225",""
"SN1995aj","1995/09/29","20","","A022836+4156","","Ia","0.0595",""
"SDSS-II SN 7194","2005/10/14","21.76","-19.4149","SDSS J22838.59-002809.6","0.364341","Ia","0.0234",""
"SN2004fr","2004/10/15","22.2","-17.645","A022843-0854","0.2016","Galaxy","0.0253",""
"SN2003jm","2003/10/22","22.56","-19.418","A022850-0909","0.5212,0.5221","Ia","0.0222",""
"SN1999fk","1999/11/03","24.3","-19.223","A022853+0116","1.056","Ia","0.0248",""
"SN2001if","2001/12/09","17.2","-18.9","MCG +06-06-43","0.038,0.038","Ia","0.0515",""
"SDSS-II SN 16277","2006/11/10","22.36","-19.004","SDSS J22856.54+002653.4","0.396301","Ia","0.024",""
"SDSS-II SN 7195","2005/10/30","22.59","-18.5726","SDSS J22858.47-003200.8","0.362359","Ia","0.0237",""
"SN2001jh","2001/12/09","22.99","-20.15","A022900+0020","0.884,0.885","Ia","0.0229",""
"SN2000ga","2000/12/24","20","-19.042","A022904-0824","0.1408,0.14,0.1408","Ia","0.0291",""
"SN2002P","2002/01/09","23.22","-19.47","A022905+0047","0.719,0.719","Ia","0.0262",""
"SN2016gsn","2016/09/29","15.15","-19.16","2MASXi J0229172+180515","0.0164","Ia","0.1848",""
"SNF20060919-007","2006/09/19","","","","0.07072","Ia","0.0275",""
"SN2003jn","2003/10/22","20.53","-20.437","A022921-0902","0.333,0.3322,0.333","Ia-91T","0.0245",""
"SN2007tq","2007/10/16","19.78","-19.331","A022923-0752","0.1452,0.1462","Ia","0.0233",""
"SDSS-II SN 17667","2007/09/04","21.1","","","","Ia","0.0273",""
"SDSS-II SN 4651","2005/09/27","21.14","-18.0671","SDSS J22930.17-004451.2","0.151605","Ia","0.0275",""
"SDSS-II SN 6300","2005/11/13","20.97","-20.1661","SDSS J22938.77-003300.1","0.35812","Ia","0.0262",""
"SN2004hj","2004/11/20","21.33","-19.71","A022941-0843","0.344,0.3432,0.344","Ia","0.0287",""
"SN2007to","2007/10/10","22.81","-19.605","A022942-0902","0.6342,0.6345","Ia","0.0272",""
"SDSS-II SN 3527","","20.88","-20.6141","SDSS J22942.36-000938.5","0.419931","Ia","0.021",""
"SDSS-II SN 8662","2005/10/20","22.13","-20.0012","SDSS J22946.41-002858.1","0.55816","Ia","0.0269",""
"SN2004he","2004/11/14","22.38","-19.902","A022948-0820","0.5972,0.5978","Ia","0.0297",""
"SN2017ixe","2017/12/13","16.75","-19.2","2MASX J02294877+4546331","0.034,0.034","Ia","0.0954",""
"SDSS-II SN 21019","2007/11/01","22.4","","SDSS J22949.59-002639.9","","Ia","0.027",""
"SN2003js","2003/10/24","21.53","-19.632","A022952-0832","0.3622,0.3636","Ia","0.0286",""
"SN2004fp","2004/10/13","21.6","-18","A022953-0901","0.2,0.2","II P","0.0284",""
"SN2006tu","2006/12/19","22","-19.595","A022956-0759","0.4392,0.4394","Ia","0.026",""
"SDSS-II SN 17115","2006/11/10","22.07","-17.9453","SDSS J22959.52-004549.4","0.217547","Ia","0.027",""
"SN2002jw","2002/12/06","22.45","-18.674","A023000-0836","0.3562,0.3575","Ia","0.0299",""
"SN2007tz","2007/11/05","22.2","-19.77","A023007-0843","0.52,0.5192,0.52","Ia?","0.0319",""
"SN2003km","2003/11/19","21.9","-19.853","A023009-0904","0.472,0.4712,0.469","Ia","0.0276",""
"SN2007uw","2007/12/12","22.5","-19","A023009-0740","0.4,0.4","Ia","0.0244",""
"SN2006lx","2006/09/16","21.31","-19.176","A023010-0806","0.2682,0.2693","Ia","0.0272",""
"SN2007ud","2007/11/07","22.21","-20.011","A023013-0915","0.582,0.5812,0.582","Ia","0.0255",""
"SN2006mk","2006/10/19","21.82","-19.947","A023016-0840","0.4742,0.4754","Ia","0.0331",""
"SN2004hq","2004/12/09","22.52","-20.017","A023018-0822","0.671,0.6702","Ia","0.035",""
"SN2000eg","2000/10/21","22.5","-19.6","A023021+0103","0.54,0.54,0.54","Ia","0.0203",""
"ASASSN-15pl","2015/09/11","15.7","-18.582","ESO 545-G25","0.016165","Ia","0.0198",""
"SN2007ut","2007/12/07","21.51","-19.904","A023023-0912","0.406,0.4052","Ia","0.0259",""
"SN2007tp","2007/10/10","22.27","-19.7","A023023-0913","0.52,0.5192,0.52","Ia","0.0259",""
"SN2007tk","2007/10/08","20.93","-20.151","A023024-0817","0.3495,0.3487,0.3495","Ia?","0.0319",""
"SDSS-II SN 18188","2007/09/14","21.98","-19.595","SDSS J23029.13-001821.0","0.435327","Ia","0.0241",""
"SDSS-II SN 17641","2007/09/04","21.06","","","","Ia","0.0292",""
"SDSS-II SN 15719","2006/10/17","21.11","-19.3795","SDSS J23035.52+010612.3","0.268672","Ia","0.0196",""
"SN1999fm","1999/11/03","23.6","-19.7","A023035+0109","0.949,0.93,0.93","Ia","0.0199",""
"SN2006mf","2006/10/15","20.2","-19.418","A023037-0757","0.1822,0.1824","Ia","0.0289",""
"SN2016W","2016/01/20","15.9","-18.76","NGC 946","0.0192,0.0192","Ia","0.0596",""
"SN2002iy","2002/11/05","22.47","-19.77","A023040-0811","0.587,0.5862,0.587","Ia","0.0285",""
"SN2005A","2005/01/05","15.65","-18.7","NGC 958","0.01914,0.01834,0.01835,0.01914","Ia","0.0259",""
"SN2012fk","2012/10/20","16.7","-19.3","PGC 9572","0.035","Ia","0.1386",""
"SDSS-II SN 19350","2007/10/08","22.23","","","","Ia","0.0202",""
"SN2006mb","2006/10/13","21.3","-19.626","A023054-0857","0.3262,0.3275","Ia","0.0235",""
"SN2006mv","2006/10/20","19.75","-19.78","SDSS J23055.45+005646.4","0.175,0.159","Ia","0.0195",""
"SDSS-II SN 5378","2005/10/03","20.78","-19.557","SDSS J23056.90-011507.6","0.2511","Ia","0.0303",""
"SN2018hkg","2018/10/14","17.64","-18.3673","","0.035605","Ia","0.0168",""
"SDSS-II SN 15093","2006/09/29","22.2","-19.12","","0.388,0.334","Ia","0.0281",""
"SN2018guc","2018/09/11","18.99","-19.1","","0.091,0.091","Ia","0.0957",""
"SN2003kp","2003/11/21","22.52","-19.916","A023102-0839","0.641,0.6402,0.645","Ia","0.0293",""
"SN2003kq","2003/11/21","22.43","-19.881","A023104-0810","0.606,0.6052,0.606","Ia-91T","0.0291",""
"SN2005ev","2005/10/06","16","-18.1","UGC 1990","0.015","Ia","0.1065",""
"SN2003jw","2003/10/28","21.87","-18.839","A023106-0845","0.2962,0.2968","Ia","0.0257",""
"SDSS-II SN 4181","2005/09/21","20.98","-19.6749","SDSS J23116.34-010750.7","0.289167","Ia","0.0309",""
"SN2004fs","2004/10/15","22.06","-19.853","A023119-0849","0.507,0.5062,0.493","Ia","0.0252",""
"SDSS-II SN 18827","2007/10/08","20.52","-20.2101","SDSS J23120.15+010415.6","0.299006","Ia","0.0197",""
"SN2002iz","2002/11/05","21.92","-19.607","A023120-0836","0.4262,0.4274","Ia","0.0285",""
"SN2003kr","2003/11/21","22.02","-19.507","A023120-0836","0.427,0.4262,0.427","Ia","0.0285",""
"SDSS-II SN 18312","2007/09/15","22.04","-19.63","SDSS J23122.47+004424.7","0.454146","Ia","0.02",""
"SDSS-II SN 14375","2006/09/11","21.17","-19.7357","SDSS J23130.51-003424.5","0.323264","Ia","0.0214",""
"SN2003ks","2003/11/21","22.35","-19.491","A023134-0836","0.491,0.4902,0.497","Ia","0.0274",""
"SDSS-II SN 6055","2005/09/26","21.72","-19.69","","0.404,0.606,0.484","Ia","0.0268",""
"SN2006mg","2006/10/15","21.69","-19.843","A023137-0806","0.428,0.4272","Ia","0.0337",""
"SN1999gp","1999/12/23","0.006","-34.99","UGC 1993","0.02675","Ia","0.0472",""
"SDSS-II SN 18189","2007/09/19","21.81","-18.8187","SDSS J23143.24-002202.7","0.285824","Ia","0.0224",""
"SN2016hjk","2016/10/12","18.21","-19.7","2MASX J02314347-2500088","0.085,0.085","Ia-91T","0.0178",""
"SN2017hes","2017/09/29","19.01","-18.3","APMUKS(BJ) B022908.93+022814.1","0.064,0.064","Ia","0.0265",""
"SN2002gx","2002/10/13","19","-18.7876","NEAT J023144.16+401646.5","0.079999","Ia","0.0468",""
"SDSS-II SN 19000","2007/10/08","20.94","-19.6911","SDSS J23148.50-002934.3","0.286131","Ia","0.0212",""
"SN2003jt","2003/10/24","21.81","-19.754","A023154-0835","0.434,0.4332,0.436","Ia","0.0273",""
"SN2018hyy","2018/11/03","17.01","-18.5","","0.029,0.029","Ia","",""
"SN2004hf","2004/11/16","21.73","-19.766","A023200-0842","0.421,0.4202,0.421","Ia","0.025",""
"SDSS-II SN 19559","","20.89","-20.6573","SDSS J23200.27+001340.9","0.429997","Ia","0.0225",""
"SN2009hn","2009/07/24","17.5","-17.5","UGC 2005","0.022,0.022","Ia","0.0211",""
"SN2018dv","2018/01/05","16.91","-18.8","","0.031,0.031","Ia","0.2019",""
"SN2006mc","2006/10/13","21.91","-19.58","A023202-0907","0.4192,0.4204","Ia","0.0254",""
"SN2016htm","2016/11/03","17.04","-19.3","2MASX J02320134-2639576","0.041,0.041","Ia","0.0144",""
"SN2017igy","2017/11/17","18.8","-18.8","","0.073,0.073","Ia","0.0365",""
"SDSS-II SN 5959","2005/10/12","20.71","-19.21","SDSS J23214.30-001829.0","0.2085","Ia","0.0213",""
"SN2006sl","2006/11/14","22.13","-19.306","A023215-0848","0.4092,0.418","Ia?","0.0241",""
"SN2006pa","2006/10/22","20.75","-19.5","SDSS J23224.09-004250.6","0.242,0.307,0.313","Ia","0.0243",""
"SDSS-II SN 15119","2006/09/29","21.95","-18.35","","0.247,0.522","Ia","0.0205",""
"SN2017hbi","2017/10/02","17.26","-19","NGC 959","0.04,0.04","Ia","0.0611",""
"SDSS-II SN 18344","2007/09/12","22.6","","","","Ia","0.0203",""
"SDSS-II SN 5897","2005/10/12","21.39","-19.8132","SDSS J23239.38-004814.8","0.368966","Ia","0.0242",""
"SN2010A","2010/01/04","15.1","-19.7213","UGC 2019","0.020698","Ia","0.0235",""
"SDSS-II SN 17733","2007/09/04","21.74","-19.4672","SDSS J23241.76+003313.3","0.369608","Ia","0.0223",""
"SN1999es","1999/11/02","18.5","-19","A023243+2227","0.07,0.07","Ia","0.1608",""
"SDSS-II SN 14896","2006/10/02","21.3","","SDSS J23300.62-004625.9","","Ia","0.0231",""
"SN1976J","1976/12/15","14.42","-19.16","NGC 977","0.0117,0.0157","Ia","0.0228",""
"PSN J02330480+3530396","2015/03/15","17.2","-19.3","MCG +06-06-53","0.045","Ia","0.0612",""
"SN2007uj","2007/11/15","21","-19.776","A023319-0832","0.306,0.3052","Ia","0.0276",""
"SN2016ayq","2016/03/03","17.69","-18.9","","0.046","Ia","0.1347",""
"SN2012E","2012/01/14","15.8","-20","NGC 975","0.03,0.02","Ia","0.0649",""
"SN2012hm","2012/12/07","17.2","-18.887","A023323+3940","0.03693","Ia","0.048",""
"SDSS-II SN 21351","2007/09/19","21.5","-19.64","SDSS J23325.08-010448.9","0.358","Ia","0.0255",""
"SN2017iuw","2017/10/17","16.79","-19.2","","0.036,0.036","Ia","0.0237",""
"SDSS-II SN 21015","2007/11/08","21.73","-19.217","SDSS J23328.88-005853.2","0.329251","Ia","0.0246",""
"SN2006sm","2006/11/14","22.42","-19.917","A023329-0830","0.613,0.6122","Ia","0.0285",""
"SN2004ft","2004/10/17","22.4","-20.432","A023332-0809","0.7665","Galaxy","0.0324",""
"SN2003kt","2003/11/21","22.71","-19.619","A023347-0836","0.611,0.6102,0.612","Ia","0.0279",""
"SN2006so","2006/11/18","20.98","-19.43","A023349-0859","0.26,0.2593","Ia","0.0257",""
"SN2005gv","2005/09/26","20.72","-19.99","SDSS J23354.19+001651.1","0.297","Ia?","0.0212",""
"SN1999ff","1999/11/02","23.1","-18.57","A023354+0032","0.455,0.455,0.46,0.46","Ia","0.0215",""
"SN2002fi","2002/09/13","18.3","-18.747","MCG -04-07-10","0.05717","Ia","0.0192",""
"SN1999dq","1999/09/02","14.43","-18.9","NGC 976","0.01433,0.01433","Ia-91T","0.0936",""
"SN2008fk","2008/09/02","18.4","-19.2","A023405+0123","0.072,0.072","Ia","0.0197",""
"SN1997dp","1997/11/01","17.8","-16.3","NGC 969","0.015,0.015","Ia","0.0948",""
"SDSS-II SN 1500","2005/09/09","21.1","","SDSS J23407.05+000353.3","","Ia","0.0207",""
"SDSS-II SN 3361","2005/09/22","21.26","","","","Ia","0.0189",""
"SN2017ixd","2017/12/06","18.48","-18.9","","0.067,0.067","Ia","0.1308",""
"SDSS-II SN 4578","2005/09/26","22.26","-19.2001","SDSS J23423.20+001840.8","0.413618","Ia","0.0197",""
"SN2008J","2008/01/15","12.22","-21.7","MCG -02-07-33","0.015874","Ia","0.0194",""
"SN2017hju","2017/10/14","17.85","-16.27","NGC 974","0.01501","Ia","0.0935",""
"SDSS-II SN 16849","2006/11/14","21.26","-18.0719","SDSS J23426.92+005157.6","0.160322","Ia","0.0184",""
"SN2018giq","2018/09/14","18.5","-19.11","","0.0739","Ia-91T","0.0216",""
"SDSS-II SN 9676","","","","","0.208","Ia","0.0202",""
"SN2002jf","2002/10/30","17.8","-20","A023435+1217","0.079,0.079","Ia","0.0893",""
"SDSS-II SN 4579","2005/09/22","22.04","-19.38","","0.406,0.487,0.406,0.631,0.667","Ia","0.019",""
"SN2006ly","2006/09/16","21.06","-19.572","A023442-0830","0.2863,0.2913","Ia?","0.0275",""
"SDSS-II SN 911","2005/09/03","21.1","-18.8067","SDSS J23445.83-000655.0","0.207264","Ia","0.0191",""
"SDSS-II SN 15120","2006/09/19","22.19","-19.8457","SDSS J23446.35-005956.9","0.534776","Ia","0.0229",""
"SN2004hg","2004/11/16","22.7","-20","A023455-0830","0.6,0.6","Ia","0.027",""
"SN2007ui","2007/11/13","22.11","-19.343","A023457-0804","0.413,0.4123,0.413","Ia","0.0318",""
"SN2016ilf","2016/11/23","18.9","-17.6","2MASX J02351956+3511426","0.045,0.047,0.045","Ia-02cx","0.054",""
"SDSS-II SN 10517","2005/10/27","22.09","","","","Ia","0.0196",""
"SN2005je","2005/10/24","19.06","-19.09","SDSS J23526.58+010428.2","0.09389,0.09422","Ia?","0.0212",""
"SN2006tv","2006/12/19","23.02","-19.783","A023534-0834","0.7563,0.7581","Ia?","0.025",""
"ASASSN-15uw","2015/12/31","16.78","-18.9107","2MASX J02353437-0603496","0.030811","Ia","0.0233",""
"SN1961P","1961/09/12","13.81","-19.67","UGC 2069","0.0112","Ia","0.0412",""
"SDSS-II SN 19143","","21.76","-17.2059","SDSS J23536.46-011212.2","0.136064","Ia","0.027",""
"SN2003ll","2003/12/15","23.04","-19.235","A023541-0806","0.5953,0.5958","Ia","0.0286",""
"SNF20071001-012","2007/10/01","19.3","-17.4","","0.049","Ia","0.1156",""
"SDSS-II SN 13510","2006/09/16","21.62","-18.7476","SDSS J23559.33-004928.1","0.254494","Ia","0.0242",""
"SN2017hjy","2017/10/14","15.57","-17","","0.007,0.007","Ia","0.076",""
"SDSS-II SN 13703","2006/09/17","20.91","-19.282","SDSS J23603.58+011505.4","0.2354","Ia","0.023",""
"SN2005lu","2005/12/11","17.1","-18.77","MCG -03-07-40","0.031293,0.032009","Ia","0.0218",""
"SN2006hs","2006/09/17","21.56","-18.79","SDSS J23605.00-005939.6","0.252","Ia","0.0273",""
"SN2018gjt","2018/09/15","18.38","-18.24","","0.0471,0.0471","Ia","0.0291",""
"SDSS-II SN 21563","2007/11/08","21.85","-20.0474","SDSS J23622.40+004757.9","0.502685","Ia","0.0246",""
"SDSS-II SN 15428","2006/10/13","21.49","-19.7989","SDSS J23622.81+010234.2","0.383289","Ia","0.0248",""
"SN2005ju","2005/10/28","21.3","-19.53","SDSS J23628.25+003042.6","0.313,0.315","Ia","0.0247",""
"SDSS-II SN 21564","2007/11/02","22.25","","","","Ia","0.0263",""
"SN2007ns","2007/09/22","21.74","-19.56","SDSS J23702.92-005200.1","0.386","Ia","0.0253",""
"SN2007hf","2007/08/24","18.6","-18","A023728-2332","0.05","Ia","0.0196",""
"SDSS-II SN 13657","2006/09/17","21.86","-18.55","SDSS J23757.16-005605.1","0.259,0.232","Ia","0.0257",""
"SN2001eu","2001/09/21","19.4","-19.5524","2MASX J02375888-0101390","0.13524","Ia","0.0257",""
"SN2018erb","2018/08/04","15.7","-20.6","LEDA 1759391","0.041,0.041","Ia","0.1283",""
"SN2009ig","2009/08/20","13","-19.6","NGC 1015","0.00829,0.00885,0.00877","Ia","0.0269",""
"SN2018hkw","2018/10/16","17.5","-17.8934","2MASX J02382311-1144215","0.026895,0.026895","Ia-91bg","0.0277",""
"SDSS-II SN 3341","2005/09/13","21.9","-19.6531","SDSS J23826.53+004715.3","0.431112","Ia","0.0297",""
"SN2017hyn","2017/11/07","18.13","-18.8","LEDA 1009321","0.053,0.053","Ia-91T","0.0243",""
"SN2018hrt","2018/10/31","16.9","-17.4848","UGC 2122","0.016945,0.016945","Ia","",""
"SDSS-II SN 8269","2005/10/01","22.43","","SDSS J23829.37+011249.8","","Ia","0.0268",""
"SDSS-II SN 13489","2006/09/16","22.17","-19.97","","0.561,0.454","Ia","0.0283",""
"OGLE-2014-SN-078","2014/09/26","19.13","-19","","0.09","Ia","0.044",""
"SN2006lr","2006/10/16","21.22","-19.21","SDSS J23852.94+000524.3","0.262,0.208,0.302","Ia","0.0253",""
"SDSS-II SN 21594","2007/11/02","22.08","-19.575","SDSS J23856.02-001208.6","0.451125","Ia","0.0239",""
"SDSS-II SN 18283","2007/09/15","21.62","-19.112","SDSS J23900.20-003244.7","0.299249","Ia","0.0248",""
"SDSS-II SN 15874","2006/10/22","21.42","-19.9802","SDSS J23904.69-002313.3","0.402736","Ia","0.0249",""
"SN1937D","1937/09/09","10.5","-19","NGC 1003","0.00518","Ia","0.0598",""
"SDSS-II SN 15522","2006/10/13","21.46","","","","Ia","0.0297",""
"SDSS-II SN 17740","2007/09/04","21.2","","","","Ia","0.0294",""
"SN2017glu","2017/09/02","18.77","-18","SDSS J023958.57-003149.0","0.051,0.051","Ia","0.0248",""
