Name,Disc. Date,mmax,Mmax,R.A.,Dec.,z,Type,E(B-V)
iPTF13ebh,2013/11/14,14.96,,"02:21:59.98,02:21:59.976","+33:16:13.7,+33:16:13.8",,Ia,0.0668
SN2001V,2001/02/19,13.7,-20.1,"11:57:24.93,11:57:24.929","+25:12:09.0,+25:12:09.00","0.01502,0.01502",Ia,0.0172
SN2017ckc,2017/03/25,18.3,-18.6,"14:28:36.170,14:28:36.1728,14:28:36.24","+16:41:04.42,+16:41:04.4268,+16:41:04.56","0.054,0.054",Ia,0.0238
SN2003cg,2003/03/21,13.43,-18.3,"10:14:15.97,10:14:16.00,10:14:15.970,10:14:16.008","+03:28:02.5,+03:28:01.7,+03:28:02.50,+03:28:01.79",0.00413,Ia,0.0265
SN2019yb,2019/01/19,17.89,-19.1,"11:00:37.869,11:00:37.87,11:00:37.92","+30:30:45.27,+30:30:45.3,+30:30:45.36","0.055,0.055",Ia,
SN2013gh,2013/08/08,13.75,-19.2,"22:02:21.84,22:02:21.840,22:02:21.85","-18:55:00.4,-18:55:00.41,-18:55:00.8",0.0088,Ia,0.0245
SN2007le,2007/10/13,13.51,-17.9,"23:38:48.45,23:38:48.452,23:38:48.48,23:38:48.41,23:38:48.410","-06:31:21.7,-06:31:21.83,-06:31:21.684,-06:31:21.29,-06:31:21.3","0.006721,0.005522",Ia,0.0334
SN2005hc,2005/10/12,17.24,-19.23,"01:56:47.976,01:56:47.9,01:56:47.952,01:56:47.928,01:56:47.95,01:56:47.94,01:56:47.940","-00:12:48.62,-00:12:49,-00:12:49.392,-00:12:49.6332,-00:12:49.40,-00:12:49.2,-00:12:49.21",0.044983,Ia,0.028
SN1972E,1972/05/06,7.77,-19.4,"13:39:52.7,00:00:00.000,13:39:53.2,13:39:52.70","-31:40:09,-31:40:15.0,-31:40:09.0",0.001358,Ia,0.0473
SN2006D,2006/01/11,14.09,-18.799,"12:52:33.87,12:52:33.84,12:52:33.94,12:52:33.941","-09:46:30.7,-09:46:30.684,-09:46:30.79,-09:46:30.8","0.008529,0.009641,0.008526",Ia,0.0394
SN2005am,2005/02/22,13.66,-18.9,"09:16:12.47,09:16:12.96,09:16:12.470","-16:18:16.0,-16:18:15.84,-16:18:15.98","0.007899,0.008967,0.007899",Ia,0.0433
SN2017hnp,2017/10/18,18.74,-20.403,"23:48:25.671,23:48:25.670,23:48:25.68","-01:43:36.47,-01:43:35.976","0.1473,0.1473",Ia-91T,0.0279
SN2005M,2005/01/19,15.91,-19,"09:37:32.76,09:37:32.40,09:37:32.36,09:37:32.359","+23:12:10.0,+23:12:02.88,+23:12:02.7,+23:12:02.70","0.022972,0.022012",Ia,0.0273
SN2016dxv,2016/04/21,16.13,-19,"18:12:29.400,18:12:29.36,18:12:29.28,18:12:29.35","+31:16:47.30,+31:16:47.3,+31:16:47.28,+31:16:47.4",0.02,Ia,0.0577
PS15ahs,2015/05/02,15.12,-20.6,"17:59:29.77,17:59:29.76","+43:23:24.2,+43:23:24",0.031,Ia,0.0304
SN2005eq,2005/09/30,16.24,-19.02,"03:08:49.31,03:08:49.392,03:08:49.32,03:08:49.310","-07:01:59.7,-07:01:59.952,-07:01:59.70","0.028351,0.028977",Ia,0.0629
SN2007on,2007/11/05,12.78,-18.5,"03:38:50.90,03:38:50.9,03:38:50.899","-35:34:30.0,-35:34:30.00,-35:34:30","0.006494,0.006182",Ia,0.0098
SN2007S,2007/01/29,15.18,-18.6,"10:00:31.26,10:00:31.2,10:00:31.20,10:00:31.260","+04:24:26.2,+04:24:25.272,+04:24:26.28,+04:24:26.21","0.01388,0.015024,0.01388,0.01503",Ia,0.0224
SN2004dt,2004/08/11,15.18,-19.4328,"02:02:12.342,02:02:12.768,02:02:12.77,02:02:12.770","-00:06:02.10,-00:05:51.36,-00:05:51.50,-00:05:51.5","0.01973,0.018812,0.01883,0.01973",Ia,0.0212
iPTF13dge,2013/09/04,15.09,-19.1496,"05:03:35.10,05:03:35.08","+01:34:17.6,+01:34:17.4,+01:34:17.2",0.015854,Ia,0.0778
SN1937C,1937/08/16,8.4,-19,"13:05:53.2,00:00:00.000,13:05:52.4,13:05:53.20","+37:36:07,+37:37:08.0,+37:36:07.0",0.001071,Ia,0.0118
SN2016ija,2016/11/22,13.26,-17.672,"04:12:07.620,04:12:07.608","-32:51:10.93,-32:51:10.44","0.003468,0.003468",II,0.0132
SN2007sr,2007/12/18,12.79,-18.2,"12:01:52.80,12:01:52.8,12:01:52.800","-18:58:21.7,-18:58:21.72,-18:58:21.68",0.005417,Ia,0.0398
SN2017deu,2017/04/16,18.05,-19,"13:16:21.598,13:16:21.600,13:16:21.59,13:16:21.6","+27:41:35.34,+27:41:35.3,+27:41:35.52","0.05,0.05",Ia,0.009
SN2005hk,2005/10/30,15.18,-18.5,"00:27:50.89,00:27:50.9,00:27:50.849,00:27:50.8824,00:27:50.8584,00:27:50.87,00:27:50.870","-01:11:53.3,-01:11:53,-01:11:53.484,-01:11:52.44,-01:11:53.34,-01:11:53.628,-01:11:52.5,-01:11:52.51","0.01306,0.013004",Ia-02cx,0.0193
SN1999ac,1999/02/26,14.04,-18.6,"16:07:15.01,16:07:15.010","+07:58:20.4,+07:58:20.39","0.00944,0.0115",Ia Pec,0.0385
SN2004ef,2004/09/04,16.73,-18.62,"22:42:10.533,22:42:10.08,22:42:10.02,22:42:10.020","+19:59:48.99,+19:59:40.56,+19:59:40.4,+19:59:40.42","0.029771,0.030985",Ia,0.0458
ASASSN-15fa,2015/03/17,15.86,-19.5747,"17:09:46.030,17:09:46.03,17:09:46.08,17:09:46","+62:58:27.01,+62:58:27.0,+62:58:27.12,+62:58:27",0.027408,Ia,0.0228
SN2009ig,2009/08/20,13,-19.6,"02:38:11.62,02:38:11.613,02:38:11.616,02:38:11.61,02:38:11.611","-01:18:45.3,-01:18:45.52,-01:18:45.252,-01:18:45.1,-01:18:45.11","0.00829,0.00885,0.00877",Ia,0.0269
SN2012cg,2012/05/17,11.7,-17.35,"12:27:12.83,12:27:12.830","+09:25:13.2,+09:25:13.19",0.001458,Ia,0.0179
SN2012hr,2012/12/16,13.71,-19,"06:21:38.46,06:21:38.460,06:21:38.472","-59:42:50.6,-59:42:50.62,-59:42:50.76",0.008,Ia,0.0389
SN2002er,2002/08/23,14.2,-18.4,"17:11:29.88,17:11:29.880","+07:59:44.8,+07:59:44.81",0.008569,Ia,0.1376
SN2004gs,2004/12/12,16.84,-18.55,"08:38:23.851,08:38:23.28,08:38:23.18,08:38:23.179","+17:37:52.85,+17:37:39.72,+17:37:39.8,+17:37:39.79","0.027498,0.026645",Ia,0.0257
SN2005ki,2005/11/18,15.36,-19,"10:40:28.355,10:40:28.32,10:40:28.22,10:40:28.219","+09:10:57.14,+09:12:08.39,+09:12:08.4",0.019207,Ia,0.0267
SN2017ito,2017/12/05,17.56,-18.9,"03:33:31.981,03:33:31.980,03:33:31.968","+03:11:24.21,+03:11:24.36,+03:11:24.216","0.043,0.043",Ia,0.1124
SN1989B,1989/01/30,11.2,-19,"11:20:13.93,11:20:13.92,11:20:13.91,00:00:00.000,11:20:13.9","+13:00:18.9,+13:00:19.44,+13:00:19.2,+13:00:19.0",0.002425,Ia,0.0284
SN2002fk,2002/09/17,12.45,-20.1,"03:22:05.71,03:22:05.710","-15:24:03.2,-15:24:03.20","0.007132,0.007125",Ia,0.0344
SN2006ax,2006/03/20,14.8,-19.4,"11:24:03.46,11:24:03.36,11:24:3.36,11:24:03.461","-12:17:29.2,-12:17:29.76,-12:17:29.04,-12:17:29.18",0.016725,Ia,0.041
SN2012Z,2012/01/29,13.9,-18.598,"03:22:05.3964,03:22:05.35,03:22:05.350","-15:23:14.939,-15:23:15.6,-15:23:15.61",0.007125,Ia-02cx,0.0344
SN2016fbo,2016/08/15,15.16,-20.7,"01:01:35.500,01:01:35.539,01:01:35.544,01:01:35.592,01:01:35.496","+17:06:04.30,+17:06:04.29,+17:06:04.32,+17:06:04.68","0.034,0.034",Ia,0.0403
SN2000E,2000/01/26,13.42,-18.5,"20:37:13.77,20:37:13.769","+66:05:50.2,+66:05:50.21","0.00414,0.00475,0.00527,0.00541,0.00563,0.00606",Ia,0.3168
SN2005na,2005/12/31,16.1,-18.94,"07:01:36.62,07:01:36.72,07:01:36.619","+14:07:59.7,+14:07:58.8,+14:07:59.88,+14:07:59.70","0.026815,0.026322",Ia,0.0681
SN2010ai,2010/03/08,15.89,-18.78,"12:59:24.00,12:59:24.005,12:59:24,12:59:24.029,12:59:24.03","+27:59:47.5,+27:59:47.13,+27:59:46.32,+27:59:47.4,+27:59:47.11,+27:59:47.1","0.0193,0.0195",Ia,0.0082
SN2016zc,2016/01/31,16.2,-19.6901,"14:05:57.100,14:05:57.10,14:05:57.12","+43:53:02.20,+43:53:02.2,+43:53:02.04","0.033749,0.033749",Ia,0.0065
SN2007jg,2007/09/14,17.45,-18.6163,"03:29:50.81,03:29:50.815,03:29:50.808,03:29:50.83,03:29:50.82,03:29:50.820","+00:03:24.6,+00:03:24.55,+00:03:24.3,+00:03:24.58,+00:03:24.33,+00:03:24.60,+00:03:24.59","0.036577,0.03713",Ia,0.0904
SN1994ae,1994/11/14,12,-20.11,"10:47:01.94,10:47:01.92,10:47:01.951,10:47:01.95","+17:16:30.8,+17:16:30.66,+17:16:31.01,+17:16:31.0,+17:16:30.7",0.004266,Ia,0.0262
SN2008C,2008/01/03,14.89,-19.5104,"06:57:11.53,06:57:11.469,06:57:11.52,06:57:11.530","+20:26:13.7,+20:26:13.58,+20:26:13.92,+20:26:13.56,+20:26:13.70","0.017067,0.016621",Ia,0.072
SN1990N,1990/06/23,12.44,-19.03,"12:42:56.68,12:42:56.70,12:42:56.741,12:42:56.74","+13:15:23.4,+13:15:23.68,+13:15:24.01,+13:15:24.0,+13:15:23.7","0.003399,0.003395",Ia,0.0223
SN1999aa,1999/02/11,14.42,-19.6,"08:27:42.03,08:27:42.029","+21:29:14.8,+21:29:14.78","0.01444,0.01444",Ia Pec,0.0342
SN2006le,2006/10/26,15.91,-18.4,"05:00:41.99,05:00:41.904,05:00:41.990","+62:15:19.0,+62:15:18.72,+63:15:19.01",0.017432,Ia,0.351
SN1980N,1980/12/07,12.28,-18.22,"03:22:59,00:00:00.000,03:23:00.3,03:23:00.16","-37:12.8,-37:12:50.0,-37:12:49.7",0.005871,Ia,0.018
SN2008hs,2008/12/01,16.1,-18.3361,"02:25:29.62,02:25:29.594,02:25:29.616,02:25:29.621","+41:50:35.1,+41:50:34.92,+41:50:35.16,+41:50:35.09",0.017349,Ia,0.0497
PS15bom,2015/07/30,15.84,-19,"23:26:37.05,23:26:36.96","-00:17:23.0,-00:17:22.9992",0.02,Ia,0.0324
SN1981B,1981/03/02,11.73,-18.72,"12:34:29.57,12:34:29.58,00:00:00.000,12:34:29.5","+02:11:59.3,+02:11:59.35,+02:11:59.0",0.006031,Ia,0.0157
SN1998de,1998/07/23,16.47,-17.6,"00:48:06.88,00:48:06.881","+27:37:28.5,+27:37:28.49","0.01647,0.01665",Ia Pec,0.0495
SN2005ag,2005/02/10,18.2,-19.5711,"14:56:43.24,14:56:43.68,14:56:43.65,14:56:43.649","+09:19:35.7,+09:19:42.49,+09:19:42.5",0.079402,Ia,0.0331
SN2006hb,2006/09/27,15.53,-18.5,"05:02:01.28,05:02:1.27,05:02:01.279","-21:07:55.1,-21:07:55.20,-21:07:55.09","0.015337,0.015344",Ia,0.0236
SN2004ey,2004/10/14,15.14,-18.8,"21:49:07.81,21:49:07.92,21:49:7.92,21:49:07.810","+00:26:39.2,+00:26:39.1,+00:26:39.20,+00:26:39.19","0.014627,0.015786",Ia,0.1191
SN2002cr,2002/05/01,13.8,-19,"14:06:37.59,14:06:37.589","-05:26:21.9,-05:26:21.91","0.00948,0.00948,0.0103",Ia,0.0212
SN2013cs,2013/05/14,13.83,-19,"13:15:14.81,13:15:14.8,13:15:14.810,13:15:14.88","-17:57:55.6,-17:57:55.65,-17:57:56,-17:57:55.58,-17:57:55.8",0.009,Ia,0.0788
SN2006bt,2006/04/26,16.81,-18.86,"15:56:33.81,15:56:30.48,15:56:30.53,15:56:30.530","+20:03:07.2,+20:02:45.60,+20:02:45.6",0.032156,Ia Pec,0.0424
SN2008Z,2008/02/07,16.16,-18.692,"09:43:15.25,09:43:15.258,09:43:15.36,09:43:15.250","+36:17:03.9,+36:17:03.64,+36:17:03.84,+36:17:03.91","0.02099,0.02099",Ia,0.0099
SN1937D,1937/09/09,10.5,-19,"02:39:21.0,00:00:00.000,02:39:20.4,02:39:21.00","+40:52:20,+40:52:17.0,+40:52:20.0",0.00518,Ia,0.0598
SN1998aq,1998/04/13,11.7,-19.87,"11:56:25.87,11:56:25.68,11:56:25.999,11:56:25.76","+55:07:43.2,+55:07:41.52,+55:07:38.78,+55:07:40.1","0.003699,0.003699",Ia,0.0122
SN2007hj,2007/09/01,15.48,-18.506,"23:01:47.89,23:01:47.880,23:01:47.890","+15:35:11.4,+15:35:11.23,+15:35:11.40","0.01411,0.01289,0.01411",Ia,0.0747
SN2010Y,2010/02/08,14.62,-18.8,"10:51:03.90,10:51:03.994,10:51:04.08,10:51:03.95,10:51:03.950","+65:46:47.0,+65:46:46.40,+65:46:46.92,+65:46:47,+65:46:46.99","0.0109,0.0113,0.0109,0.0114",Ia,0.0117
SN2005gj,2005/09/26,15.31,-21.9,"03:01:11.96,03:01:12.0,03:01:11.952,03:01:11.928,03:01:11.95,03:01:11.950","-00:33:13.9,-00:33:14,-00:33:13.932,-00:33:13.914,-00:33:14.1696,-00:33:13.90",0.0616,Ia,0.1048
SN2006mr,2006/11/05,13.9,-16.6,"03:22:42.84,03:22:43.03,03:22:42.840","-37:12:28.5,-37:12:29.16,-37:12:28.51","0.005508,0.005508",Ia Pec,0.0179
SN2018bhc,2018/05/07,15.85,-21.2,"16:46:25.290,16:46:25.295,16:46:25.2","+25:25:17.26,+25:25:17.25,+25:25:17.4","0.056,0.056",Ia,0.0397
SN1999dq,1999/09/02,14.43,-18.9,"02:33:59.68,02:33:59.681","+20:58:30.4,+20:58:30.40","0.01433,0.01433",Ia-91T,0.0936
