Name,Disc. Date,mmax,Mmax,R.A.,Dec.,z,Type,E(B-V)
ESSENCEs354,2006/11/26,22.78,-19.351,02:06:10.482,-05:05:23.000,"0.5581,0.5588",Ia?,0.0186
PSc150145,2009/05/01,20.78,-19.3074,12:28:21.218,+47:17:18.80,0.22465,Ia,0.0096
PTF09gul,2009/12/31,18.59,-18.98,"01:28:23.90,01:28:23.904","+33:51:40.7,+33:51:40.32",0.0725,Ia,0.0457
SDSS-II SN 10997,2005/10/26,21.23,-17.1,20:33:41.28,"+00:31:15.51,+00:31:15.575,+00:31:15.388","0.102,0.0959",Ia,0.0885
SDSS-II SN 13378,2006/09/11,21.55,-19.2258,"02:26:10.224,02:26:10.2","+01:08:47.184,+01:08:46.824",0.305136,Ia,0.0277
SDSS-II SN 13441,2006/09/15,21.42,-19.2317,"23:07:48.720,23:07:48.72","-00:13:58.76,-00:13:58.98,-00:13:58.764,-00:13:58.7424,-00:13:58.998",0.28876,Ia,0.0354
SDSS-II SN 13659,2006/09/11,21.1,-19.54,03:06:42.624,"-01:02:28.86,-01:02:28.716,-01:02:29.004","0.287,0.255",Ia,0.0593
SDSS-II SN 13786,2006/09/16,21.97,,"00:38:20.2656,00:38:20.256","-00:45:16.002,-00:45:16.326",,Ia,0.0196
SDSS-II SN 13971,2006/09/11,21.41,-19.0221,"01:34:38.472,01:34:38.448","+01:14:11.04,+01:14:10.752",0.261899,Ia,0.0235
SDSS-II SN 14260,2006/09/11,21.54,-19.649,"03:32:57.24,03:32:57.216","-00:07:31.0728,-00:07:31.3068",0.3667,Ia,0.0905
SDSS-II SN 14539,2006/09/27,21.74,-19.52,"01:52:58.34,01:52:58.344,01:52:58.368","+00:30:18.9,+00:30:18.94,+00:30:19.278,+00:30:18.932",0.379,Ia,0.0305
SDSS-II SN 14588,2006/09/16,21.81,-19.41,"03:10:45.422,03:10:45.408,03:10:45.432","-00:46:36.23,-00:46:36.444,-00:46:36.228,-00:46:36.1596,-00:46:36.426","0.372,0.361,0.313",Ia,0.0546
SDSS-II SN 15119,2006/09/29,21.95,-18.35,"02:32:29.426,02:32:29.424,02:32:29.448,02:32:29.4","+01:05:26.12,+01:05:26.124,+01:05:26.304,+01:05:26.088","0.247,0.522",Ia,0.0205
SDSS-II SN 15289,2006/09/20,21.58,-19.67,"22:17:43.956,22:17:43.92","-01:11:54.82,-01:11:55.14,-01:11:54.816","0.376,0.148,0.137",Ia,0.0758
SDSS-II SN 15385,2006/10/03,21.6,-18.4,"03:38:13.272,03:38:13.296","+00:24:14.022,+00:24:14.116,+00:24:13.817","0.216,0.196",Ia,0.0751
SDSS-II SN 15418,2006/10/12,21.51,-19.67,"00:55:23.138,00:55:23.136,00:55:23.112","+01:00:46.13,+01:00:46.152,+01:00:46.08,+01:00:45.756","0.365,0.315,0.451",Ia,0.0226
SDSS-II SN 15455,2006/10/11,22.06,-19.3642,"22:00:19.333,22:00:19.2,22:00:19.44","-01:03:04.91,-01:03:05.112,-01:03:04.932,-01:03:04.968",0.407071,Ia,0.0747
SDSS-II SN 15697,2006/10/13,21.51,-17.3,"02:00:03.936,02:00:03.912","+00:46:34.655,+00:46:34.633,+00:46:34.327",0.127,Ia,0.0214
SDSS-II SN 15730,2006/10/03,21.7,-18.97,23:59:41.76,"-00:02:30.408,-00:02:30.39,-00:02:30.6024","0.291,0.258",Ia,0.0287
SDSS-II SN 15751,2006/10/13,21.82,-19.14,"03:36:06.780,03:36:06.768,03:36:06.792","-00:03:06.02,-00:03:06.336,-00:03:06.0228,-00:03:06.0732","0.331,0.321,0.281",Ia,0.0891
SDSS-II SN 15934,2006/10/23,21.44,-18.91,22:40:08.64,"+00:12:43.362,+00:12:43.247,+00:12:43.009",0.253,Ia,0.0559
SDSS-II SN 15988,2006/09/30,21.61,-19.5461,"00:25:00.91,00:25:00.84,00:25:00.8208","+00:00:32.2,+00:00:30,+00:00:32.9",0.361309,Ia,0.0242
SDSS-II SN 16048,2006/10/16,20.28,-20.9941,"02:23:22.30,02:23:22.512,02:23:22.488","-00:40:56.7,-00:40:57.6948,-00:40:57.9108",0.380767,Ia,0.0307
SDSS-II SN 16090,2006/10/29,22.04,-19.855,"02:26:06.744,02:26:06.72","+00:37:27.368,+00:37:27.037",0.502136,Ia,0.0291
SDSS-II SN 16301,2006/10/29,21.7,-18.06,21:50:06.96,"+01:01:59.916,+01:01:59.952,+01:01:59.7","0.194,0.177",Ia,0.0634
SDSS-II SN 16356,2006/11/09,19.86,-21.5211,"21:12:48.435,21:12:48.48","-00:34:02.26,-00:34:02.262,-00:34:02.3952,-00:34:02.604",0.399335,Ia,0.056
SDSS-II SN 16417,2006/10/01,20.98,-19.7,"00:49:22.770,00:49:22.776,00:49:22.752","+01:12:52.78,+01:12:52.776,+01:12:52.92,+01:12:52.632",0.292421,Ia,0.0196
SDSS-II SN 16565,2006/11/09,21.51,-19.7105,"01:00:35.256,01:00:35.232","-00:04:38.4852,-00:04:38.6004,-00:04:38.8524",0.371812,Ia,0.0264
SDSS-II SN 16572,2006/11/09,20.78,,23:43:56.4,"+00:20:29.555,+00:20:29.234",,Ia,0.0227
SDSS-II SN 16584,2006/10/31,21.87,-19.4771,"22:37:01.983,22:37:01.92","-00:27:52.25,-00:27:52.2468,-00:27:52.3296,-00:27:52.7184",0.393346,Ia,0.0461
SDSS-II SN 16759,2006/11/09,21.62,,23:42:08.4,"+01:07:29.136,+01:07:28.74",,Ia,0.0251
SDSS-II SN 16841,2006/11/08,21.45,,"01:35:18.24,01:35:18.216","+00:09:26.53,+00:09:26.305",,Ia,0.0228
SDSS-II SN 16976,2006/11/13,20.56,-16.62,01:55:10.848,"-00:24:43.128,-00:24:43.1532,-00:24:43.4412",0.0607,Ib/c,0.0273
SDSS-II SN 17099,2006/10/28,21.96,,"00:32:49.4232,00:32:49.3992","+01:05:39.264,+01:05:39.084",,Ia,0.018
SDSS-II SN 17337,2007/09/03,21.56,-18.9,02:12:03.12,"+00:14:04.1172,+00:14:04.038,+00:14:03.8004","0.265,0.237",Ia,0.0268
SDSS-II SN 17667,2007/09/04,21.1,,02:29:25.032,"-00:49:10.7256,-00:49:11.0064",,Ia,0.0273
SDSS-II SN 17949,2007/09/14,20.84,-19.6111,"01:56:49.235,01:56:49.2,01:56:49.224","-00:14:07.91,-00:14:08.052,-00:14:07.908,-00:14:07.8792,-00:14:08.0592",0.264127,Ia,0.0278
SDSS-II SN 18917,2007/09/19,20.93,-18.44,"03:45:32.112,03:45:32.088","+00:02:20.27,+00:02:20.24,+00:02:19.95",0.163,Ia,0.1464
SDSS-II SN 18941,2007/10/08,22.04,,"00:40:47.352,00:40:47.328","-00:06:41.2488,-00:06:41.5404",,Ia,0.0191
SDSS-II SN 18973,2007/10/08,21.98,-20.14,02:22:53.04,"+01:14:53.16,+01:14:53.052,+01:14:52.908","0.555,0.451",Ia,0.0297
SDSS-II SN 19346,2007/10/08,21.88,-19.2802,"01:57:40.176,01:57:40.2,01:57:40.152","+00:19:38.96,+00:19:39.029,+00:19:38.694",0.361973,Ia,0.0241
SDSS-II SN 19352,2007/10/08,21.43,-19.55,"02:41:19.117,02:41:19.104,02:41:19.128","+00:15:11.66,+00:15:11.27,+00:15:11.63,+00:15:11.275","0.334,0.233",Ia,0.026
SDSS-II SN 19417,2007/10/06,20.95,-21.57,"21:55:40.08,21:55:40.32","+00:30:17.9,+00:30:07.218,+00:30:07.0128","0.664,0.687",Ia,0.0595
SDSS-II SN 19461,2007/10/09,21.42,-18.85,"03:54:48.624,03:54:48.6","-00:42:42.012,-00:42:42.0588,-00:42:42.2856",0.244,Ia,0.325
SDSS-II SN 19668,2007/10/12,21.35,-20.0745,23:47:44.88,"-00:37:41.1,-00:37:41.4048,-00:37:41.8224",0.407113,Ia,0.0337
SDSS-II SN 20128,2007/10/29,21.17,-18.61,"20:29:24,20:29:23.76","+00:11:16.4,+00:11:16.397,+00:11:16.076","0.196,0.179",Ia,0.1139
SDSS-II SN 20467,2007/10/21,21.28,-19.2285,"01:20:04.75,01:20:04.776","+00:54:48.6,+00:54:48.31,+00:54:48.618,+00:54:48.298",0.27095,Ia,0.0244
SDSS-II SN 20877,2007/10/19,21.89,-18.76,"00:39:08.8152,00:39:08.8056,00:39:08.784","+00:30:51.037,+00:30:51.224,+00:30:50.828","0.288,0.255",Ia,0.0149
SDSS-II SN 20928,2007/10/29,21.51,-19.704,"01:27:36.243,01:27:36.24","+00:58:26.97,+00:58:26.965,+00:58:26.954,+00:58:26.659",0.370739,Ia,0.0246
SDSS-II SN 21307,2007/10/14,21.07,,23:35:29.76,"+00:07:39.4,+00:07:39.119",,Ia,0.0258
SDSS-II SN 2926,2005/09/09,21.34,-19.4295,"00:16:48.64,00:16:48.684,00:16:48.672","+00:25:42.1,+00:25:41.588,+00:25:41.228",0.304287,Ia,0.0208
SDSS-II SN 3068,2005/09/13,21.42,,"00:45:08.496,00:45:08.448","-00:54:14.4936,-00:54:14.706",,Ia,0.0163
SDSS-II SN 3669,2005/09/10,20.72,-20.75,23:19:01.92,"-00:50:22.848,-00:50:22.8012,-00:50:23.1144","0.415,0.353",Ia,0.0323
SDSS-II SN 5378,2005/10/03,20.78,-19.557,"02:30:56.905,02:30:56.856,02:30:56.808","-01:15:07.25,-01:15:07.704,-01:15:07.956",0.2511,Ia,0.0303
SDSS-II SN 5877,2005/10/12,21.12,-19.74,20:44:26.88,"+00:32:27.82,+00:32:27.596,+00:32:27.334","0.317,0.278",Ia,0.0604
SDSS-II SN 5925,2005/09/27,21.77,-19.5953,"01:44:39.020,01:44:39.024,01:44:39,01:44:38.976","-01:08:45.80,-01:08:45.816,-01:08:45.672,-01:08:45.852",0.396531,Ia,0.0253
SDSS-II SN 6085,2005/10/01,21.05,-21.4,"22:33:42.96,22:33:42.72","+00:24:10.66,+00:24:10.573,+00:24:10.328","0.65,0.51",Ia,0.0669
SDSS-II SN 6560,2005/10/12,21.69,-18.8376,"21:25:47.195,21:25:47.28","+00:50:59.18,+00:50:59.03,+00:50:59.183,+00:50:59.204,+00:50:59.039",0.273265,Ia,0.0405
SDSS-II SN 7803,2005/10/20,21.03,-20.25,"23:04:20.748,23:04:20.64","+00:41:25.76,+00:41:25.4,+00:41:25.724,+00:41:25.444","0.382,0.184,0.169",II,0.0409
SN2005lh,2005/11/04,21.09,-18.9532,"21:55:48.33,21:55:48.3,21:55:48.24,21:55:48.34,21:55:48.341","+01:10:51.0,+01:10:51,+01:10:50.844,+01:10:50.556,+01:10:50.9,+01:10:50.92","0.2184,0.220272",Ia,0.0486
SN2006al,2006/02/19,16.9,-20.524,"10:39:28.26,10:39:28.260","+05:11:00.3,+05:11:00.31",0.067849,Ia,0.0221
SN2006cz,2006/06/14,16.9,-19.4589,"14:48:36.66,14:48:36.72,14:48:36.660","-04:44:30.7,-04:44:30.948,-04:44:30.70",0.041799,Ia,0.0702
SN2006jz,2006/10/11,20.59,-19.23,"00:11:24.567,00:11:24.811,00:11:24.77,00:11:24.8112,00:11:24.768,00:11:24.80,00:11:24.799","+00:42:07.01,+00:42:09.864,+00:42:09.612,+00:42:09.8784,+00:42:09.6156,+00:42:09.8,+00:42:09.79",0.1994,Ia,0.0234
SN2006kd,2006/10/13,20.16,-18.8104,"01:07:49.944,01:07:49.992,01:07:50.00,01:07:49.999","+00:49:42.89,+00:49:41.5,+00:49:41.12,+00:49:41.513,+00:49:41.48",0.13634,Ia,0.0237
SN2006lm,2006/10/11,21.29,-19.25,"22:20:12.72,22:20:12.80,22:20:12.799","+00:24:35.7,+00:24:35.82,+00:24:35.42,+00:24:35.798,+00:24:35.417,+00:24:35.8,+00:24:35.78","0.275,0.223,0.294,0.297",Ia,0.0559
SN2006mc,2006/10/13,21.91,-19.58,"02:32:02.605,02:32:02.60,02:32:02.599,02:32:02.611","-09:07:21.15,-09:07:21.1,-09:07:21.22,-09:07:21.181","0.4192,0.4204",Ia,0.0254
SN2006mo,2006/11/01,17.53,-18.5614,"00:46:38.55,00:46:38.551","+36:19:57.8,+36:19:57.79","0.036999,0.037002",Ia,0.0383
SN2006tw,2006/12/21,21.51,-19.863,"01:08:54.227,01:08:54.23,01:08:54.230","+00:17:56.50,+00:17:56.5,+00:17:56.51,+00:17:56.510","0.3979,0.3987",Ia-91T,0.023
SN2007ii,2007/09/04,20.29,-20.203,"00:33:34.05,00:33:34.0512,00:33:34.0416,00:33:34.051","+00:59:05.7,+00:59:05.7912,+00:59:05.4204,+00:59:05.71",0.2691,Ia?,0.017
SN2007nz,2007/10/08,21.24,-20.48,"03:25:11.352,03:25:11.35,03:25:11.328,03:25:11.350","-00:06:22.59,-00:06:22.5,-00:06:22.8096,-00:06:22.50",0.464,Ia?,0.0911
SN2007ov,2007/10/12,21.44,-19.41,"02:41:08.78,02:41:08.736,02:41:08.76,02:41:08.760","+00:08:39.3,+00:08:39.7,+00:08:40.013,+00:08:39.714,+00:08:40.0,+00:08:39.98","0.315,0.268,0.395,0.403",Ia,0.0252
SN2007qi,2007/10/30,20.79,-19.763,"23:16:28.80,23:16:28.8,23:16:28.800","-00:05:56.1,-00:05:54.5892,-00:05:54.906,-00:05:54.6,-00:05:54.60",0.2764,Ia,0.0364
SN2007qn,2007/10/31,21.65,-19.26,"23:59:09.24,23:59:09.12,23:59:09.36,23:59:09.240","+01:09:30.0,+01:09:29.628,+01:09:29.988,+01:09:29.99","0.324,0.255",Ia,0.0219
SN2008fx,2008/09/23,17.5,-19.469,"02:11:33.98,02:11:34.008,02:11:33.979,02:11:32.316","+23:52:49.6,+23:52:48,+23:52:49.58,+23:53:07.04","0.059,0.05519",Ia,0.0694
SN2009co,2009/03/21,20.5,-18.84,"12:24:35.31,12:24:35.28,12:24:35.311","+47:14:16.8,+47:14:16.80",0.161,Ia,0.0108
SN2009fw,2009/06/06,14.27,-21.2,"20:32:18.50,20:32:18.48,20:32:18.499","-19:43:59.6,-19:44:00.24,-19:43:59.59",0.028,Ia,0.0503
SNLS-05D1kl,2005/12/30,23.08,-19.1,02:24:33.539,"-04:19:08.26,-04:19:08.260","0.56,0.56",Ia,0.0218
SNLS-05D2ci,2005/03/09,22.69,-19.711,10:00:02.041,"+02:12:57.07,+02:12:57.070",0.6303,Ia,0.0168
SNLS-05D2ie,2005/04/07,21.89,-19.18,"10:01:02.895,10:01:02.907","+02:39:29.11,+02:39:29.110,+02:39:28.90","0.348,0.348",Ia,0.0161
SNLS-05D3cx,2005/04/09,22.74,-20.2,14:21:06.542,"+52:45:01.83,+52:45:01.830","0.805,0.805",Ia,0.0071
SNLS-05D3mq,2005/08/02,20.94,-19.35,"14:19:00.428,14:19:00.398","+52:23:06.43,+52:23:06.430,+52:23:06.81",0.246,Ia,0.0086
SNLS-05D4ag,2005/07/10,22.85,-19.6,22:13:47.425,"-18:09:54.95,-18:09:54.950","0.64,0.64",Ia,0.025
SNLS-05D4dw,2005/09/08,23.17,-19.9,22:16:55.878,"-18:03:05.26,-18:03:05.260","0.855,0.855",Ia,0.0239
SNLS-05D4fe,2005/09/25,23.37,-20,22:15:40.268,"-17:31:42.38,-17:31:42.380","0.984,0.984",Ia,0.0209
SNLS-06D1ab,2006/01/05,21.11,-18.51,02:24:59.031,"-04:40:51.20,-04:40:51.200","0.182,0.182",Ia,0.0219
SNLS-06D2ff,2006/04/27,22.31,-18.74,10:00:16.345,"+02:14:35.14,+02:14:35.140",0.345,Ia,0.0161
SNLS-06D4ba,2006/07/03,22.48,-20,"22:15:35.72,22:15:35.737","-18:13:44.7,-18:13:44.82,-18:13:44.820","0.7,0.7",Ia,0.0232
LSQ13cwp,2013/11/08,18.65,-18.3,04:03:50.66,"-02:39:18.0,-02:39:18.2",0.054,Ia,0.1326
OGLE-2014-SN-186,2014/12/07,19,-18,"05:45:27.59,05:45:27.57","-75:59:15.1,-75:59:14.7",0.07,Ia,0.075
PS1-10aex,2010/08/30,22.157,-18.8883,"16:18:28.32,16:18:28.313","+55:14:36.96,+55:14:37.46","0.42,0.34395",Ia,0.0089
PSc040121,2010/04/12,21.45,-19.4481,10:39:04.002,+58:35:25.74,0.32218,Ia,0.0069
PSc052136,2010/06/13,22.04,-19.7577,14:12:54.447,+52:47:32.50,0.48078,Ia,0.0086
PSc070071,2010/08/02,21.37,-19.825,22:19:56.442,-00:26:30.92,0.36762,Ia,0.0625
PSc070985,2010/08/17,21.93,-19.6906,23:32:10.508,-00:32:12.51,0.44427,Ia,0.0283
PSc080546,2010/08/27,22.53,-19.8091,02:21:23.684,-04:00:25.50,0.61286,Ia,0.0187
PSc090227,2010/10/08,22.42,-19.6769,08:35:17.508,+44:24:23.58,0.54963,Ia,0.0244
PSc120637,2011/01/25,20.98,-19.7105,09:56:42.018,+01:30:41.94,0.29379,Ia,0.0187
PSc140221,2011/03/09,21.83,-19.319,10:43:40.998,+58:26:34.26,0.3601,Ia,0.008
PSc140286,2011/03/12,20.5,-19.2817,08:44:33.840,+45:24:06.88,0.19602,Ia,0.0222
PSc140325,2011/03/13,22.05,-19.7638,10:46:32.696,+57:34:07.23,0.48424,Ia,0.0066
PSc140361,2011/03/13,21.91,-19.2993,12:26:07.027,+47:31:27.93,0.36996,Ia,0.0099
PSc150196,2011/03/25,22.37,-19.53,12:23:07.977,+48:15:41.30,0.50326,Ia,0.0113
PSc150740,2011/04/23,21.82,-18.1099,12:24:28.583,+47:36:59.01,0.20942,Ia,0.0105
PSc160206,2011/05/24,22.17,-19.4815,14:08:09.249,+53:13:48.06,0.45042,Ia,0.0082
PSc160300,2011/05/29,21,-18.6838,12:25:39.978,+47:22:30.82,0.18764,Ia,0.01
PSc170400,2011/06/07,22.43,-19.658,14:10:57.903,+54:15:47.97,0.54746,Ia,0.0133
PSc180255,2011/07/01,22.11,-19.5807,22:14:56.395,+00:32:39.24,0.45836,Ia,0.0463
PSc180424,2011/07/25,22.05,-19.2286,22:17:20.279,+00:31:57.37,0.38154,Ia,0.0477
PSc200118,2011/09/18,22.49,-19.5087,22:14:20.837,+00:56:25.59,0.52597,Ia,0.0363
PSc300225,2011/08/10,22.24,-19.6828,23:33:17.658,-00:06:59.50,0.50841,Ia,0.0318
PSc330103,2011/11/13,21.95,-19.5762,08:48:06.032,+43:58:49.07,0.42597,Ia,0.0252
PSc350050,2011/12/15,21.88,-19.5277,10:44:19.122,+58:04:34.29,0.40408,Ia,0.0089
PSc370473,2012/03/14,22.24,-20.0201,10:52:21.320,+57:16:23.34,0.59144,Ia,0.0067
PSc380381,2012/04/21,22.23,-18.8905,10:55:16.215,+57:10:26.40,0.35564,Ia,0.0064
PSc380424,2012/04/21,21.57,-19.5957,14:13:52.923,+54:02:43.52,0.36286,Ia,0.0101
PSc380433,2012/04/15,22.46,-19.248,12:18:27.731,+45:59:59.79,0.4619,Ia,0.0106
PSc390485,2012/04/29,21.87,-19.467,16:18:41.932,+54:35:26.20,0.39158,Ia,0.0088
PSc420352,2012/08/16,21.72,-19.6796,02:20:43.719,-03:57:44.89,0.40263,Ia,0.0175
PSc450080,2012/11/01,22.02,-18.4749,23:24:14.231,-00:06:34.94,0.26932,Ia,0.0408
PSc450087,2012/11/05,22.01,-19.2027,02:28:08.198,-03:35:11.13,0.37052,Ia,0.0279
PSc450312,2012/11/08,21.53,-18.905,08:39:55.209,+45:32:32.18,0.2622,Ia,0.0271
PSc470008,2012/12/22,20.44,,03:32:19.861,-29:00:49.63,,Ia,0.0076
PSc480128,2013/01/31,21.53,-19.5443,10:50:48.069,+59:21:13.03,0.34841,Ia,0.0076
PSc480184,2013/02/01,22.16,-18.797,08:38:56.510,+43:18:50.14,0.3307,Ia,0.0206
PSc480631,2013/02/02,21.76,,09:59:11.428,+02:18:45.09,,Ia,0.0173
PSc500039,2013/03/07,21.8,-18.4275,14:20:40.521,+53:42:27.33,0.23911,Ia,0.0089
PSc530100,2013/06/10,21.64,-19.217,22:13:34.595,+00:40:28.23,0.31634,Ia,0.0354
PSc530251,2013/07/03,22.51,,22:18:32.226,+01:06:53.61,,Ia,0.0651
PSc540088,2013/07/28,21.87,-18.976,22:21:25.140,+00:14:45.94,0.3148,Ia,0.0576
PSc540147,2013/07/28,22.23,-19.1894,22:18:25.346,+00:49:35.90,0.40619,Ia,0.0511
PSc560121,2013/10/23,22.05,,02:25:21.310,-04:23:42.94,,Ia,0.0214
PSc560124,2013/10/19,21.16,-19.3317,03:36:56.473,-28:02:43.85,0.26894,Ia,0.0105
PSc560150,2013/10/19,20.86,-18.9593,22:15:50.567,+01:13:39.30,0.19934,Ia,0.0366
PSc560152,2013/10/23,21.07,,22:19:12.051,+01:09:36.79,,Ia,0.0686
PSc580276,2013/12/12,21.45,,03:34:05.132,-28:48:27.71,,Ia,0.0067
PSc590002,2013/12/30,20.59,-19.2256,09:58:10.766,+00:52:41.89,0.19901,Ia,0.0235
PTF10gmh,2010/04/26,19.32,-19.03,"13:47:03.65,13:47:03.6","+39:08:00.1,+39:08:00.24",0.103,Ia,0.0105
PTF10gqi,2010/04/27,19.26,-17.24,"12:39:47.65,12:39:47.76","+59:56:41.2,+59:56:41.28",0.0445,Ia,0.011
PTF10tqy,2010/08/31,17.63,-18.9,00:42:41.52,"+24:45:14.2,+24:45:14.04",0.045,Ia,0.0302
PTF10xyt,2010/10/04,18.26,-18.59,"23:19:02.42,23:19:02.4,23:19:02.43","+13:47:26.1,+13:47:26.16,+13:47:26.2","0.0522,0.0533,0.0484",Ia,0.0446
PTF12dhl,2012/04/21,18.13,-18.9,"13:22:55.63,13:22:55.68","+52:14:00.5,+52:14:00.6",0.057,Ia,0.0104
CSS151230:044008+123051,2016/01/15,17.66,-17.7,"04:40:07.800,04:40:07.75,04:40:07.776","+12:30:51.10,+12:30:51.3,+12:30:51.12",0.026,Ia,
ASASSN-15go,2015/04/06,15.8,-18.8256,"06:11:30.500,06:11:30.50,06:11:30.408","-16:29:03.52,-16:29:03.5,-16:29:04.56",0.018923,Ia,0.1369
OGLE15ne,2015/10/16,19.47,,05:37:23.58,-62:41:12.3,,Ia,0.0481
OGLE15oa,2015/10/23,18.74,-18.4,"04:36:25.63,04:36:25.64","-62:47:51.7,-62:47:51.8",0.059,Ia,0.0244
PS15avy,2015/06/20,19.19,-18,22:33:48.41,-18:57:46.4,0.07,Ia,0.0347
SN2016csk,2016/06/03,18.01,-18.6844,"17:09:30.317,17:09:30.320,17:09:30.31","+21:36:29.74,+21:36:29.5",0.048703,Ia,0.0551
SN2016dgj,2016/07/06,18.08,-19,"15:43:34.781,15:43:34.780,15:43:34.8,15:43:34.78","-04:37:14.66,-04:37:14.60,-04:37:14.808,-04:37:14.6","0.06,0.06",Ia-91T,0.1619
SN2016elw,2016/07/30,20.15,-19.21,"01:12:41.810,01:12:41.81","-00:52:03.92,-00:52:03.9",0.162,Ia,0.0307
SN2016gxq,2016/10/04,18.1,-15.51,"08:17:26.827,08:17:26.830,08:17:26.88,08:17:26.80","+21:41:25.55,+21:41:25.8,+21:41:25.7,+21:41:25.44","0.0119,0.0119",Ia,0.0335
SN2017doq,2017/04/26,18.54,-19.1,"13:41:57.601,13:41:57.600,13:41:57.59,13:41:57.6","-04:22:13.04,-04:22:13.0,-04:22:13.044","0.074,0.074",Ia,0.0273
SN2017gbb,2017/08/09,16.31,-17,"05:53:04.810,05:53:04.8","-17:52:03.50,-17:52:03.36","0.01,0.01",Iax[02cx-like],0.0626
SN2017goz,2017/08/21,18.95,-19,"23:19:14.773,23:19:14.770,23:19:14.76","-11:31:13.39,-11:31:13.2","0.07,0.07",Ia,0.0234
SN2017jeh,2017/12/26,16.54,-18.3088,"07:30:04.073,07:30:04.070,07:30:04.08,07:30:04.16","+54:26:09.02,+54:26:11.20,+54:26:11.04,+54:26:11.2","0.020961,0.020961",Ia,0.0547
SN2017jzk,2017/12/17,19.5,-18,"09:07:00.040,09:07:00","+16:40:28.30,+16:40:28.2","0.08,0.08",Ia,0.0307
SN2017jzp,2017/12/19,18.27,-18.7,"13:28:24.430,13:28:24.426,13:28:24.48","+67:43:03.83,+67:43:03.82,+67:43:03.72","0.055,0.055",Ia,0.012
SN2018aaz,2018/03/06,17.17,-17.9111,"10:13:48.240,10:13:48.24,10:13:48.27","+38:45:47.40,+38:45:47.16,+38:45:47.1",0.023313,Ia,0.0113
SN2018bui,2018/05/18,17.23,-17.5531,"14:20:43.658,10:02:05.971,14:20:43.440,10:02:05.816,14:20:43.44,14:20:43.43,10:02:05.76","+13:41:44.74,-15:17:55.21,+13:41:42.60,-15:17:54.47,+13:41:43.08,+13:41:43.0,+13:41:42.72,-15:17:54.6","0.031275,0.020339,0.031275,0.020339,0.031275",II,0.0202
SN2018cco,2018/05/28,18.49,-19,"18:59:01.022,18:59:01.020,18:59:01.00","+63:45:18.60,+63:45:18.7",0.07,Ia,0.0428
SN2018cne,2018/06/13,18.67,-19,"16:18:42.702,16:18:42.700,16:18:42.72","+40:04:20.83,+40:04:21.36","0.08,0.08",Ia,0.0055
SN2018crj,2018/06/09,18.85,-19.1,"17:58:02.746,17:58:02.750,17:58:02.68","+69:04:22.13,+69:04:21.9","0.088,0.088",Ia,0.0311
SN2018crr,2018/06/09,18.88,-24.47,"16:59:37.232,16:59:37.230,16:59:37.2,16:59:37.23","+59:04:23.73,+59:04:23.88,+59:04:23.8",0.973,Ia,0.0136
SN2018cvf,2018/06/22,18.06,-19.229,"12:06:40.617,12:06:40.620,12:06:40.56,12:06:40.62","+59:30:48.11,+59:30:48.24,+59:30:48.1","0.06383,0.06383",Ia,0.0163
SN2018dv,2018/01/05,16.91,-18.8,"02:32:01.027,02:32:01.030,02:32:01.032,02:32:01.04","+08:35:16.15,+08:35:16.044,+08:35:16.2","0.031,0.031",Ia,0.2019
SN2018fay,2018/08/12,16.67,-19,"07:17:19.260,07:17:19.262,07:17:19.2","+52:18:23.69,+52:18:23.76","0.031,0.031",Ia-91T,0.0614
SN2018hrs,2018/10/31,18.93,-19,"01:55:09.977,01:55:09.980,01:55:09.97","+02:29:04.85,+02:29:04.8","0.084,0.084",Ia,
SN2018imi,2018/10/31,18.92,-19,"06:43:40.111,06:43:40.110,06:43:40.08","+32:19:19.95,+32:19:19.56","0.09,0.09",Ia,
SN2018jha,2018/12/01,18.64,-19.3,"09:43:45.145,09:43:45.12","+33:15:39.12,+33:15:39.24,+33:15:39.6","0.086,0.086",Ia,
SN2018jrp,2018/12/09,18.29,-18,"14:23:51.790,14:23:51.786,14:23:51.84","+20:19:53.54,+20:19:53.4","0.05,0.05",Ia,
SN2018kxz,2018/12/19,17.31,-19.6584,"12:02:18.669,12:02:18.72","+59:15:24.13,+59:15:24.12","0.055168,0.055168",Ia,
SN2018mf,2018/01/14,19.12,-19.31,"10:22:09.780,10:22:09.77","+10:26:23.90,+10:26:24.0","0.107,0.107",Ia,0.025
SN1996bm,1996/10/04,20.51,-18.87,"00:44:40.85,00:44:40.850","-63:44:44.6,-63:44:44.59",0.164,nIa,0.0176
SN1998dz,1998/09/03,18.83,-19.2,"03:20:58.18,03:20:58.181","-41:05:22.8,-41:05:22.81",0.091,Ia,0.0169
SN1999bm,1999/03/15,20.1,-19.1,"12:45:00.84,12:45:00.840","-06:27:30.2,-06:27:30.20","0.15,0.15",Ia,0.0216
SN2001iy,2001/12/09,22.41,-19.79,"10:52:24.28,10:52:24.281","+57:16:36.1,+57:16:36.08","0.576,0.567,0.568",Ia,0.0066
SN2003fj,2003/06/01,22.15,-19.562,"14:19:45.205,14:19:45.19,14:19:45.190,14:19:45.198","+52:32:25.36,+52:32:25.360,+52:32:25.7,+52:32:25.69,+52:32:25.79","0.4627,0.4627",Ia,0.0099
